"STATISTIC","Quarter","Age at Death","UNIT","VALUE"
"Deaths Registered Provisional","1963Q4","35 to 44 Years","Number","212"
"Deaths Registered Provisional","1963Q4","45 to 54 Years","Number","484"
"Deaths Registered Provisional","1963Q4","55 to 64 Years","Number","1033"
"Deaths Registered Provisional","1963Q4","65 to 74 Years","Number","1850"
"Deaths Registered Provisional","1963Q4","75 Years and Over","Number","3289"
"Deaths Registered Provisional","1964Q1","Under 1 Year","Number","439"
"Deaths Registered Provisional","1964Q1","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1964Q1","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1964Q1","Under 7 Days","Number",""
"Deaths Registered Provisional","1964Q1","1 to 7 Days","Number",""
"Deaths Registered Provisional","1964Q1","Under 1 Day","Number",""
"Deaths Registered Provisional","1964Q1","1 to 4 Years","Number","63"
"Deaths Registered Provisional","1964Q1","5 to 14 Years","Number","64"
"Deaths Registered Provisional","1964Q1","15 to 24 Years","Number","59"
"Deaths Registered Provisional","1964Q1","25 to 34 Years","Number","94"
"Deaths Registered Provisional","1964Q1","35 to 44 Years","Number","199"
"Deaths Registered Provisional","1964Q1","45 to 54 Years","Number","562"
"Deaths Registered Provisional","1964Q1","55 to 64 Years","Number","1225"
"Deaths Registered Provisional","1964Q1","65 to 74 Years","Number","2012"
"Deaths Registered Provisional","1964Q1","75 Years and Over","Number","4146"
"Deaths Registered Provisional","1964Q2","Under 1 Year","Number","453"
"Deaths Registered Provisional","1964Q2","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1964Q2","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1964Q2","Under 7 Days","Number",""
"Deaths Registered Provisional","1964Q2","1 to 7 Days","Number",""
"Deaths Registered Provisional","1964Q2","Under 1 Day","Number",""
"Deaths Registered Provisional","1964Q2","1 to 4 Years","Number","64"
"Deaths Registered Provisional","1964Q2","5 to 14 Years","Number","50"
"Deaths Registered Provisional","1964Q2","15 to 24 Years","Number","80"
"Deaths Registered Provisional","1964Q2","25 to 34 Years","Number","96"
"Deaths Registered Provisional","1964Q2","35 to 44 Years","Number","208"
"Deaths Registered Provisional","1964Q2","45 to 54 Years","Number","612"
"Deaths Registered Provisional","1964Q2","55 to 64 Years","Number","1176"
"Deaths Registered Provisional","1964Q2","65 to 74 Years","Number","2103"
"Deaths Registered Provisional","1964Q2","75 Years and Over","Number","4225"
"Deaths Registered Provisional","1964Q3","Under 1 Year","Number","410"
"Deaths Registered Provisional","1964Q3","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1964Q3","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1964Q3","Under 7 Days","Number",""
"Deaths Registered Provisional","1964Q3","1 to 7 Days","Number",""
"Deaths Registered Provisional","1964Q3","Under 1 Day","Number",""
"Deaths Registered Provisional","1964Q3","1 to 4 Years","Number","68"
"Deaths Registered Provisional","1964Q3","5 to 14 Years","Number","64"
"Deaths Registered Provisional","1964Q3","15 to 24 Years","Number","73"
"Deaths Registered Provisional","1964Q3","25 to 34 Years","Number","92"
"Deaths Registered Provisional","1964Q3","35 to 44 Years","Number","183"
"Deaths Registered Provisional","1964Q3","45 to 54 Years","Number","477"
"Deaths Registered Provisional","1964Q3","55 to 64 Years","Number","935"
"Deaths Registered Provisional","1964Q3","65 to 74 Years","Number","1649"
"Deaths Registered Provisional","1964Q3","75 Years and Over","Number","2931"
"Deaths Registered Provisional","1964Q4","Under 1 Year","Number","411"
"Deaths Registered Provisional","1964Q4","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1964Q4","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1964Q4","Under 7 Days","Number",""
"Deaths Registered Provisional","1964Q4","1 to 7 Days","Number",""
"Deaths Registered Provisional","1964Q4","Under 1 Day","Number",""
"Deaths Registered Provisional","1964Q4","1 to 4 Years","Number","52"
"Deaths Registered Provisional","1964Q4","5 to 14 Years","Number","49"
"Deaths Registered Provisional","1964Q4","15 to 24 Years","Number","55"
"Deaths Registered Provisional","1964Q4","25 to 34 Years","Number","91"
"Deaths Registered Provisional","1964Q4","35 to 44 Years","Number","199"
"Deaths Registered Provisional","1964Q4","45 to 54 Years","Number","470"
"Deaths Registered Provisional","1964Q4","55 to 64 Years","Number","1104"
"Deaths Registered Provisional","1964Q4","65 to 74 Years","Number","1878"
"Deaths Registered Provisional","1964Q4","75 Years and Over","Number","3352"
"Deaths Registered Provisional","1965Q1","Under 1 Year","Number","377"
"Deaths Registered Provisional","1965Q1","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1965Q1","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1965Q1","Under 7 Days","Number",""
"Deaths Registered Provisional","1965Q1","1 to 7 Days","Number",""
"Deaths Registered Provisional","1965Q1","Under 1 Day","Number",""
"Deaths Registered Provisional","1965Q1","1 to 4 Years","Number","70"
"Deaths Registered Provisional","1965Q1","5 to 14 Years","Number","55"
"Deaths Registered Provisional","1965Q1","15 to 24 Years","Number","69"
"Deaths Registered Provisional","1965Q1","25 to 34 Years","Number","78"
"Deaths Registered Provisional","1965Q1","35 to 44 Years","Number","187"
"Deaths Registered Provisional","1965Q1","45 to 54 Years","Number","560"
"Deaths Registered Provisional","1965Q1","55 to 64 Years","Number","1154"
"Deaths Registered Provisional","1965Q1","65 to 74 Years","Number","2316"
"Deaths Registered Provisional","1965Q1","75 Years and Over","Number","4412"
"Deaths Registered Provisional","1965Q2","Under 1 Year","Number","448"
"Deaths Registered Provisional","1965Q2","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1965Q2","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1965Q2","Under 7 Days","Number",""
"Deaths Registered Provisional","1965Q2","1 to 7 Days","Number",""
"Deaths Registered Provisional","1965Q2","Under 1 Day","Number",""
