"STATISTIC","Quarter","Age at Death","UNIT","VALUE"
"Deaths Registered Provisional","1988Q3","55 to 64 Years","Number","809"
"Deaths Registered Provisional","1988Q3","65 to 74 Years","Number","1851"
"Deaths Registered Provisional","1988Q3","75 Years and Over","Number","3552"
"Deaths Registered Provisional","1988Q4","Under 1 Year","Number","113"
"Deaths Registered Provisional","1988Q4","4 Weeks to 1 Year","Number","48"
"Deaths Registered Provisional","1988Q4","1 Week to 4 Weeks","Number","10"
"Deaths Registered Provisional","1988Q4","Under 7 Days","Number","55"
"Deaths Registered Provisional","1988Q4","1 to 7 Days","Number","25"
"Deaths Registered Provisional","1988Q4","Under 1 Day","Number","30"
"Deaths Registered Provisional","1988Q4","1 to 4 Years","Number","21"
"Deaths Registered Provisional","1988Q4","5 to 14 Years","Number","39"
"Deaths Registered Provisional","1988Q4","15 to 24 Years","Number","101"
"Deaths Registered Provisional","1988Q4","25 to 34 Years","Number","103"
"Deaths Registered Provisional","1988Q4","35 to 44 Years","Number","133"
"Deaths Registered Provisional","1988Q4","45 to 54 Years","Number","313"
"Deaths Registered Provisional","1988Q4","55 to 64 Years","Number","851"
"Deaths Registered Provisional","1988Q4","65 to 74 Years","Number","1885"
"Deaths Registered Provisional","1988Q4","75 Years and Over","Number","3683"
"Deaths Registered Provisional","1989Q1","Under 1 Year","Number","109"
"Deaths Registered Provisional","1989Q1","4 Weeks to 1 Year","Number","53"
"Deaths Registered Provisional","1989Q1","1 Week to 4 Weeks","Number","13"
"Deaths Registered Provisional","1989Q1","Under 7 Days","Number","43"
"Deaths Registered Provisional","1989Q1","1 to 7 Days","Number","19"
"Deaths Registered Provisional","1989Q1","Under 1 Day","Number","24"
"Deaths Registered Provisional","1989Q1","1 to 4 Years","Number","39"
"Deaths Registered Provisional","1989Q1","5 to 14 Years","Number","34"
"Deaths Registered Provisional","1989Q1","15 to 24 Years","Number","81"
"Deaths Registered Provisional","1989Q1","25 to 34 Years","Number","78"
"Deaths Registered Provisional","1989Q1","35 to 44 Years","Number","139"
"Deaths Registered Provisional","1989Q1","45 to 54 Years","Number","368"
"Deaths Registered Provisional","1989Q1","55 to 64 Years","Number","965"
"Deaths Registered Provisional","1989Q1","65 to 74 Years","Number","2145"
"Deaths Registered Provisional","1989Q1","75 Years and Over","Number","4514"
"Deaths Registered Provisional","1989Q2","Under 1 Year","Number","93"
"Deaths Registered Provisional","1989Q2","4 Weeks to 1 Year","Number","44"
"Deaths Registered Provisional","1989Q2","1 Week to 4 Weeks","Number","9"
"Deaths Registered Provisional","1989Q2","Under 7 Days","Number","40"
"Deaths Registered Provisional","1989Q2","1 to 7 Days","Number","10"
"Deaths Registered Provisional","1989Q2","Under 1 Day","Number","30"
"Deaths Registered Provisional","1989Q2","1 to 4 Years","Number","34"
"Deaths Registered Provisional","1989Q2","5 to 14 Years","Number","37"
"Deaths Registered Provisional","1989Q2","15 to 24 Years","Number","86"
"Deaths Registered Provisional","1989Q2","25 to 34 Years","Number","102"
"Deaths Registered Provisional","1989Q2","35 to 44 Years","Number","166"
"Deaths Registered Provisional","1989Q2","45 to 54 Years","Number","325"
"Deaths Registered Provisional","1989Q2","55 to 64 Years","Number","890"
"Deaths Registered Provisional","1989Q2","65 to 74 Years","Number","2085"
"Deaths Registered Provisional","1989Q2","75 Years and Over","Number","4243"
"Deaths Registered Provisional","1989Q3","Under 1 Year","Number","98"
"Deaths Registered Provisional","1989Q3","4 Weeks to 1 Year","Number","37"
"Deaths Registered Provisional","1989Q3","1 Week to 4 Weeks","Number","7"
"Deaths Registered Provisional","1989Q3","Under 7 Days","Number","54"
"Deaths Registered Provisional","1989Q3","1 to 7 Days","Number","22"
"Deaths Registered Provisional","1989Q3","Under 1 Day","Number","32"
"Deaths Registered Provisional","1989Q3","1 to 4 Years","Number","20"
"Deaths Registered Provisional","1989Q3","5 to 14 Years","Number","32"
"Deaths Registered Provisional","1989Q3","15 to 24 Years","Number","91"
"Deaths Registered Provisional","1989Q3","25 to 34 Years","Number","77"
"Deaths Registered Provisional","1989Q3","35 to 44 Years","Number","162"
"Deaths Registered Provisional","1989Q3","45 to 54 Years","Number","364"
"Deaths Registered Provisional","1989Q3","55 to 64 Years","Number","749"
"Deaths Registered Provisional","1989Q3","65 to 74 Years","Number","1929"
"Deaths Registered Provisional","1989Q3","75 Years and Over","Number","3619"
"Deaths Registered Provisional","1989Q4","Under 1 Year","Number","90"
"Deaths Registered Provisional","1989Q4","4 Weeks to 1 Year","Number","32"
"Deaths Registered Provisional","1989Q4","1 Week to 4 Weeks","Number","11"
"Deaths Registered Provisional","1989Q4","Under 7 Days","Number","47"
"Deaths Registered Provisional","1989Q4","1 to 7 Days","Number","21"
"Deaths Registered Provisional","1989Q4","Under 1 Day","Number","26"
"Deaths Registered Provisional","1989Q4","1 to 4 Years","Number","27"
"Deaths Registered Provisional","1989Q4","5 to 14 Years","Number","39"
"Deaths Registered Provisional","1989Q4","15 to 24 Years","Number","126"
"Deaths Registered Provisional","1989Q4","25 to 34 Years","Number","90"
"Deaths Registered Provisional","1989Q4","35 to 44 Years","Number","152"
"Deaths Registered Provisional","1989Q4","45 to 54 Years","Number","305"
"Deaths Registered Provisional","1989Q4","55 to 64 Years","Number","841"
"Deaths Registered Provisional","1989Q4","65 to 74 Years","Number","1869"
"Deaths Registered Provisional","1989Q4","75 Years and Over","Number","3890"
"Deaths Registered Provisional","1990Q1","Under 1 Year","Number","136"
"Deaths Registered Provisional","1990Q1","4 Weeks to 1 Year","Number","74"
"Deaths Registered Provisional","1990Q1","1 Week to 4 Weeks","Number","7"
"Deaths Registered Provisional","1990Q1","Under 7 Days","Number","55"
"Deaths Registered Provisional","1990Q1","1 to 7 Days","Number","20"
"Deaths Registered Provisional","1990Q1","Under 1 Day","Number","35"
"Deaths Registered Provisional","1990Q1","1 to 4 Years","Number","25"
"Deaths Registered Provisional","1990Q1","5 to 14 Years","Number","30"
"Deaths Registered Provisional","1990Q1","15 to 24 Years","Number","91"
"Deaths Registered Provisional","1990Q1","25 to 34 Years","Number","86"
"Deaths Registered Provisional","1990Q1","35 to 44 Years","Number","171"
"Deaths Registered Provisional","1990Q1","45 to 54 Years","Number","347"
"Deaths Registered Provisional","1990Q1","55 to 64 Years","Number","1064"
"Deaths Registered Provisional","1990Q1","65 to 74 Years","Number","2441"
"Deaths Registered Provisional","1990Q1","75 Years and Over","Number","5703"
"Deaths Registered Provisional","1990Q2","Under 1 Year","Number","111"
"Deaths Registered Provisional","1990Q2","4 Weeks to 1 Year","Number","43"
"Deaths Registered Provisional","1990Q2","1 Week to 4 Weeks","Number","9"
"Deaths Registered Provisional","1990Q2","Under 7 Days","Number","59"
"Deaths Registered Provisional","1990Q2","1 to 7 Days","Number","29"
"Deaths Registered Provisional","1990Q2","Under 1 Day","Number","30"
"Deaths Registered Provisional","1990Q2","1 to 4 Years","Number","23"
"Deaths Registered Provisional","1990Q2","5 to 14 Years","Number","33"
"Deaths Registered Provisional","1990Q2","15 to 24 Years","Number","79"
"Deaths Registered Provisional","1990Q2","25 to 34 Years","Number","96"
"Deaths Registered Provisional","1990Q2","35 to 44 Years","Number","154"
"Deaths Registered Provisional","1990Q2","45 to 54 Years","Number","293"
"Deaths Registered Provisional","1990Q2","55 to 64 Years","Number","850"
"Deaths Registered Provisional","1990Q2","65 to 74 Years","Number","1810"
"Deaths Registered Provisional","1990Q2","75 Years and Over","Number","3987"
"Deaths Registered Provisional","1990Q3","Under 1 Year","Number","95"
"Deaths Registered Provisional","1990Q3","4 Weeks to 1 Year","Number","35"
"Deaths Registered Provisional","1990Q3","1 Week to 4 Weeks","Number","10"
"Deaths Registered Provisional","1990Q3","Under 7 Days","Number","50"
"Deaths Registered Provisional","1990Q3","1 to 7 Days","Number","17"
"Deaths Registered Provisional","1990Q3","Under 1 Day","Number","33"
"Deaths Registered Provisional","1990Q3","1 to 4 Years","Number","17"
"Deaths Registered Provisional","1990Q3","5 to 14 Years","Number","19"
"Deaths Registered Provisional","1990Q3","15 to 24 Years","Number","86"
"Deaths Registered Provisional","1990Q3","25 to 34 Years","Number","65"
"Deaths Registered Provisional","1990Q3","35 to 44 Years","Number","155"
"Deaths Registered Provisional","1990Q3","45 to 54 Years","Number","332"
"Deaths Registered Provisional","1990Q3","55 to 64 Years","Number","786"
"Deaths Registered Provisional","1990Q3","65 to 74 Years","Number","1722"
"Deaths Registered Provisional","1990Q3","75 Years and Over","Number","3588"
"Deaths Registered Provisional","1990Q4","Under 1 Year","Number","91"
"Deaths Registered Provisional","1990Q4","4 Weeks to 1 Year","Number","36"
"Deaths Registered Provisional","1990Q4","1 Week to 4 Weeks","Number","10"
"Deaths Registered Provisional","1990Q4","Under 7 Days","Number","45"
"Deaths Registered Provisional","1990Q4","1 to 7 Days","Number","17"
"Deaths Registered Provisional","1990Q4","Under 1 Day","Number","28"
"Deaths Registered Provisional","1990Q4","1 to 4 Years","Number","22"
"Deaths Registered Provisional","1990Q4","5 to 14 Years","Number","37"
"Deaths Registered Provisional","1990Q4","15 to 24 Years","Number","97"
"Deaths Registered Provisional","1990Q4","25 to 34 Years","Number","99"
"Deaths Registered Provisional","1990Q4","35 to 44 Years","Number","145"
"Deaths Registered Provisional","1990Q4","45 to 54 Years","Number","330"
"Deaths Registered Provisional","1990Q4","55 to 64 Years","Number","805"
"Deaths Registered Provisional","1990Q4","65 to 74 Years","Number","1884"
"Deaths Registered Provisional","1990Q4","75 Years and Over","Number","3913"
"Deaths Registered Provisional","1991Q1","Under 1 Year","Number","110"
"Deaths Registered Provisional","1991Q1","4 Weeks to 1 Year","Number","49"
"Deaths Registered Provisional","1991Q1","1 Week to 4 Weeks","Number","14"
"Deaths Registered Provisional","1991Q1","Under 7 Days","Number","47"
"Deaths Registered Provisional","1991Q1","1 to 7 Days","Number","18"
"Deaths Registered Provisional","1991Q1","Under 1 Day","Number","29"
"Deaths Registered Provisional","1991Q1","1 to 4 Years","Number","19"
"Deaths Registered Provisional","1991Q1","5 to 14 Years","Number","28"
"Deaths Registered Provisional","1991Q1","15 to 24 Years","Number","84"
"Deaths Registered Provisional","1991Q1","25 to 34 Years","Number","86"
"Deaths Registered Provisional","1991Q1","35 to 44 Years","Number","161"
"Deaths Registered Provisional","1991Q1","45 to 54 Years","Number","374"
"Deaths Registered Provisional","1991Q1","55 to 64 Years","Number","927"
"Deaths Registered Provisional","1991Q1","65 to 74 Years","Number","2318"
"Deaths Registered Provisional","1991Q1","75 Years and Over","Number","4913"
"Deaths Registered Provisional","1991Q2","Under 1 Year","Number","107"
"Deaths Registered Provisional","1991Q2","4 Weeks to 1 Year","Number","40"
"Deaths Registered Provisional","1991Q2","1 Week to 4 Weeks","Number","16"
"Deaths Registered Provisional","1991Q2","Under 7 Days","Number","51"
"Deaths Registered Provisional","1991Q2","1 to 7 Days","Number","15"
"Deaths Registered Provisional","1991Q2","Under 1 Day","Number","36"
"Deaths Registered Provisional","1991Q2","1 to 4 Years","Number","20"
"Deaths Registered Provisional","1991Q2","5 to 14 Years","Number","32"
"Deaths Registered Provisional","1991Q2","15 to 24 Years","Number","74"
"Deaths Registered Provisional","1991Q2","25 to 34 Years","Number","92"
"Deaths Registered Provisional","1991Q2","35 to 44 Years","Number","182"
"Deaths Registered Provisional","1991Q2","45 to 54 Years","Number","311"
"Deaths Registered Provisional","1991Q2","55 to 64 Years","Number","837"
"Deaths Registered Provisional","1991Q2","65 to 74 Years","Number","1980"
"Deaths Registered Provisional","1991Q2","75 Years and Over","Number","4350"
"Deaths Registered Provisional","1991Q3","Under 1 Year","Number","105"
"Deaths Registered Provisional","1991Q3","4 Weeks to 1 Year","Number","26"
"Deaths Registered Provisional","1991Q3","1 Week to 4 Weeks","Number","14"
"Deaths Registered Provisional","1991Q3","Under 7 Days","Number","65"
"Deaths Registered Provisional","1991Q3","1 to 7 Days","Number","26"
"Deaths Registered Provisional","1991Q3","Under 1 Day","Number","39"
"Deaths Registered Provisional","1991Q3","1 to 4 Years","Number","21"
"Deaths Registered Provisional","1991Q3","5 to 14 Years","Number","34"
"Deaths Registered Provisional","1991Q3","15 to 24 Years","Number","95"
"Deaths Registered Provisional","1991Q3","25 to 34 Years","Number","99"
"Deaths Registered Provisional","1991Q3","35 to 44 Years","Number","144"
"Deaths Registered Provisional","1991Q3","45 to 54 Years","Number","311"
"Deaths Registered Provisional","1991Q3","55 to 64 Years","Number","721"
"Deaths Registered Provisional","1991Q3","65 to 74 Years","Number","1730"
"Deaths Registered Provisional","1991Q3","75 Years and Over","Number","3717"
"Deaths Registered Provisional","1991Q4","Under 1 Year","Number","109"
"Deaths Registered Provisional","1991Q4","4 Weeks to 1 Year","Number","29"
"Deaths Registered Provisional","1991Q4","1 Week to 4 Weeks","Number","22"
"Deaths Registered Provisional","1991Q4","Under 7 Days","Number","58"
"Deaths Registered Provisional","1991Q4","1 to 7 Days","Number","21"
"Deaths Registered Provisional","1991Q4","Under 1 Day","Number","37"
"Deaths Registered Provisional","1991Q4","1 to 4 Years","Number","18"
"Deaths Registered Provisional","1991Q4","5 to 14 Years","Number","31"
"Deaths Registered Provisional","1991Q4","15 to 24 Years","Number","101"
"Deaths Registered Provisional","1991Q4","25 to 34 Years","Number","123"
"Deaths Registered Provisional","1991Q4","35 to 44 Years","Number","159"
"Deaths Registered Provisional","1991Q4","45 to 54 Years","Number","304"
"Deaths Registered Provisional","1991Q4","55 to 64 Years","Number","845"
"Deaths Registered Provisional","1991Q4","65 to 74 Years","Number","1838"
"Deaths Registered Provisional","1991Q4","75 Years and Over","Number","3988"
"Deaths Registered Provisional","1992Q1","Under 1 Year","Number","108"
"Deaths Registered Provisional","1992Q1","4 Weeks to 1 Year","Number","44"
"Deaths Registered Provisional","1992Q1","1 Week to 4 Weeks","Number","9"
"Deaths Registered Provisional","1992Q1","Under 7 Days","Number","55"
"Deaths Registered Provisional","1992Q1","1 to 7 Days","Number","21"
"Deaths Registered Provisional","1992Q1","Under 1 Day","Number","34"
"Deaths Registered Provisional","1992Q1","1 to 4 Years","Number","21"
"Deaths Registered Provisional","1992Q1","5 to 14 Years","Number","35"
"Deaths Registered Provisional","1992Q1","15 to 24 Years","Number","101"
"Deaths Registered Provisional","1992Q1","25 to 34 Years","Number","100"
"Deaths Registered Provisional","1992Q1","35 to 44 Years","Number","169"
"Deaths Registered Provisional","1992Q1","45 to 54 Years","Number","379"
"Deaths Registered Provisional","1992Q1","55 to 64 Years","Number","859"
"Deaths Registered Provisional","1992Q1","65 to 74 Years","Number","2184"
"Deaths Registered Provisional","1992Q1","75 Years and Over","Number","5042"
"Deaths Registered Provisional","1992Q2","Under 1 Year","Number","82"
"Deaths Registered Provisional","1992Q2","4 Weeks to 1 Year","Number","29"
"Deaths Registered Provisional","1992Q2","1 Week to 4 Weeks","Number","2"
"Deaths Registered Provisional","1992Q2","Under 7 Days","Number","51"
"Deaths Registered Provisional","1992Q2","1 to 7 Days","Number","19"
"Deaths Registered Provisional","1992Q2","Under 1 Day","Number","32"
"Deaths Registered Provisional","1992Q2","1 to 4 Years","Number","16"
"Deaths Registered Provisional","1992Q2","5 to 14 Years","Number","30"
"Deaths Registered Provisional","1992Q2","15 to 24 Years","Number","86"
"Deaths Registered Provisional","1992Q2","25 to 34 Years","Number","102"
"Deaths Registered Provisional","1992Q2","35 to 44 Years","Number","140"
"Deaths Registered Provisional","1992Q2","45 to 54 Years","Number","333"
"Deaths Registered Provisional","1992Q2","55 to 64 Years","Number","732"
"Deaths Registered Provisional","1992Q2","65 to 74 Years","Number","1854"
"Deaths Registered Provisional","1992Q2","75 Years and Over","Number","3863"
"Deaths Registered Provisional","1992Q3","Under 1 Year","Number","70"
"Deaths Registered Provisional","1992Q3","4 Weeks to 1 Year","Number","28"
"Deaths Registered Provisional","1992Q3","1 Week to 4 Weeks","Number","8"
"Deaths Registered Provisional","1992Q3","Under 7 Days","Number","34"
"Deaths Registered Provisional","1992Q3","1 to 7 Days","Number","15"
"Deaths Registered Provisional","1992Q3","Under 1 Day","Number","19"
"Deaths Registered Provisional","1992Q3","1 to 4 Years","Number","14"
"Deaths Registered Provisional","1992Q3","5 to 14 Years","Number","19"
"Deaths Registered Provisional","1992Q3","15 to 24 Years","Number","103"
"Deaths Registered Provisional","1992Q3","25 to 34 Years","Number","90"
"Deaths Registered Provisional","1992Q3","35 to 44 Years","Number","135"
"Deaths Registered Provisional","1992Q3","45 to 54 Years","Number","338"
"Deaths Registered Provisional","1992Q3","55 to 64 Years","Number","787"
"Deaths Registered Provisional","1992Q3","65 to 74 Years","Number","1755"
"Deaths Registered Provisional","1992Q3","75 Years and Over","Number","3925"
"Deaths Registered Provisional","1992Q4","Under 1 Year","Number","83"
"Deaths Registered Provisional","1992Q4","4 Weeks to 1 Year","Number","22"
"Deaths Registered Provisional","1992Q4","1 Week to 4 Weeks","Number","8"
"Deaths Registered Provisional","1992Q4","Under 7 Days","Number","53"
"Deaths Registered Provisional","1992Q4","1 to 7 Days","Number","25"
"Deaths Registered Provisional","1992Q4","Under 1 Day","Number","28"
"Deaths Registered Provisional","1992Q4","1 to 4 Years","Number","21"
"Deaths Registered Provisional","1992Q4","5 to 14 Years","Number","36"
"Deaths Registered Provisional","1992Q4","15 to 24 Years","Number","97"
"Deaths Registered Provisional","1992Q4","25 to 34 Years","Number","110"
"Deaths Registered Provisional","1992Q4","35 to 44 Years","Number","178"
"Deaths Registered Provisional","1992Q4","45 to 54 Years","Number","316"
"Deaths Registered Provisional","1992Q4","55 to 64 Years","Number","730"
"Deaths Registered Provisional","1992Q4","65 to 74 Years","Number","1779"
"Deaths Registered Provisional","1992Q4","75 Years and Over","Number","3958"
"Deaths Registered Provisional","1993Q1","Under 1 Year","Number","86"
"Deaths Registered Provisional","1993Q1","4 Weeks to 1 Year","Number","30"
"Deaths Registered Provisional","1993Q1","1 Week to 4 Weeks","Number","11"
"Deaths Registered Provisional","1993Q1","Under 7 Days","Number","45"
"Deaths Registered Provisional","1993Q1","1 to 7 Days","Number","14"
"Deaths Registered Provisional","1993Q1","Under 1 Day","Number","31"
"Deaths Registered Provisional","1993Q1","1 to 4 Years","Number","19"
"Deaths Registered Provisional","1993Q1","5 to 14 Years","Number","30"
"Deaths Registered Provisional","1993Q1","15 to 24 Years","Number","69"
"Deaths Registered Provisional","1993Q1","25 to 34 Years","Number","92"
"Deaths Registered Provisional","1993Q1","35 to 44 Years","Number","168"
"Deaths Registered Provisional","1993Q1","45 to 54 Years","Number","351"
"Deaths Registered Provisional","1993Q1","55 to 64 Years","Number","805"
"Deaths Registered Provisional","1993Q1","65 to 74 Years","Number","2064"
"Deaths Registered Provisional","1993Q1","75 Years and Over","Number","4647"
"Deaths Registered Provisional","1993Q2","Under 1 Year","Number","69"
"Deaths Registered Provisional","1993Q2","4 Weeks to 1 Year","Number","19"
"Deaths Registered Provisional","1993Q2","1 Week to 4 Weeks","Number","11"
"Deaths Registered Provisional","1993Q2","Under 7 Days","Number","39"
"Deaths Registered Provisional","1993Q2","1 to 7 Days","Number","10"
"Deaths Registered Provisional","1993Q2","Under 1 Day","Number","29"
"Deaths Registered Provisional","1993Q2","1 to 4 Years","Number","17"
"Deaths Registered Provisional","1993Q2","5 to 14 Years","Number","27"
"Deaths Registered Provisional","1993Q2","15 to 24 Years","Number","94"
"Deaths Registered Provisional","1993Q2","25 to 34 Years","Number","111"
"Deaths Registered Provisional","1993Q2","35 to 44 Years","Number","172"
"Deaths Registered Provisional","1993Q2","45 to 54 Years","Number","368"
"Deaths Registered Provisional","1993Q2","55 to 64 Years","Number","823"
"Deaths Registered Provisional","1993Q2","65 to 74 Years","Number","1860"
"Deaths Registered Provisional","1993Q2","75 Years and Over","Number","4285"
"Deaths Registered Provisional","1993Q3","Under 1 Year","Number","68"
"Deaths Registered Provisional","1993Q3","4 Weeks to 1 Year","Number","18"
"Deaths Registered Provisional","1993Q3","1 Week to 4 Weeks","Number","10"
"Deaths Registered Provisional","1993Q3","Under 7 Days","Number","40"
"Deaths Registered Provisional","1993Q3","1 to 7 Days","Number","13"
"Deaths Registered Provisional","1993Q3","Under 1 Day","Number","27"
"Deaths Registered Provisional","1993Q3","1 to 4 Years","Number","18"
"Deaths Registered Provisional","1993Q3","5 to 14 Years","Number","32"
"Deaths Registered Provisional","1993Q3","15 to 24 Years","Number","74"
"Deaths Registered Provisional","1993Q3","25 to 34 Years","Number","80"
"Deaths Registered Provisional","1993Q3","35 to 44 Years","Number","152"
"Deaths Registered Provisional","1993Q3","45 to 54 Years","Number","297"
"Deaths Registered Provisional","1993Q3","55 to 64 Years","Number","717"
"Deaths Registered Provisional","1993Q3","65 to 74 Years","Number","1847"
"Deaths Registered Provisional","1993Q3","75 Years and Over","Number","3870"
"Deaths Registered Provisional","1993Q4","Under 1 Year","Number","72"
"Deaths Registered Provisional","1993Q4","4 Weeks to 1 Year","Number","29"
"Deaths Registered Provisional","1993Q4","1 Week to 4 Weeks","Number","8"
"Deaths Registered Provisional","1993Q4","Under 7 Days","Number","35"
"Deaths Registered Provisional","1993Q4","1 to 7 Days","Number","11"
"Deaths Registered Provisional","1993Q4","Under 1 Day","Number","24"
"Deaths Registered Provisional","1993Q4","1 to 4 Years","Number","18"
"Deaths Registered Provisional","1993Q4","5 to 14 Years","Number","30"
"Deaths Registered Provisional","1993Q4","15 to 24 Years","Number","100"
"Deaths Registered Provisional","1993Q4","25 to 34 Years","Number","129"
"Deaths Registered Provisional","1993Q4","35 to 44 Years","Number","162"
"Deaths Registered Provisional","1993Q4","45 to 54 Years","Number","340"
"Deaths Registered Provisional","1993Q4","55 to 64 Years","Number","822"
"Deaths Registered Provisional","1993Q4","65 to 74 Years","Number","2003"
"Deaths Registered Provisional","1993Q4","75 Years and Over","Number","4678"
"Deaths Registered Provisional","1994Q1","Under 1 Year","Number","70"
"Deaths Registered Provisional","1994Q1","4 Weeks to 1 Year","Number","28"
"Deaths Registered Provisional","1994Q1","1 Week to 4 Weeks","Number","9"
"Deaths Registered Provisional","1994Q1","Under 7 Days","Number","33"
"Deaths Registered Provisional","1994Q1","1 to 7 Days","Number","11"
"Deaths Registered Provisional","1994Q1","Under 1 Day","Number","22"
"Deaths Registered Provisional","1994Q1","1 to 4 Years","Number","11"
"Deaths Registered Provisional","1994Q1","5 to 14 Years","Number","31"
"Deaths Registered Provisional","1994Q1","15 to 24 Years","Number","69"
"Deaths Registered Provisional","1994Q1","25 to 34 Years","Number","84"
"Deaths Registered Provisional","1994Q1","35 to 44 Years","Number","131"
"Deaths Registered Provisional","1994Q1","45 to 54 Years","Number","339"
"Deaths Registered Provisional","1994Q1","55 to 64 Years","Number","790"
"Deaths Registered Provisional","1994Q1","65 to 74 Years","Number","2065"
"Deaths Registered Provisional","1994Q1","75 Years and Over","Number","4961"
"Deaths Registered Provisional","1994Q2","Under 1 Year","Number","69"
"Deaths Registered Provisional","1994Q2","4 Weeks to 1 Year","Number","26"
"Deaths Registered Provisional","1994Q2","1 Week to 4 Weeks","Number","11"
"Deaths Registered Provisional","1994Q2","Under 7 Days","Number","32"
"Deaths Registered Provisional","1994Q2","1 to 7 Days","Number","10"
"Deaths Registered Provisional","1994Q2","Under 1 Day","Number","22"
"Deaths Registered Provisional","1994Q2","1 to 4 Years","Number","18"
"Deaths Registered Provisional","1994Q2","5 to 14 Years","Number","17"
"Deaths Registered Provisional","1994Q2","15 to 24 Years","Number","70"
"Deaths Registered Provisional","1994Q2","25 to 34 Years","Number","81"
"Deaths Registered Provisional","1994Q2","35 to 44 Years","Number","162"
"Deaths Registered Provisional","1994Q2","45 to 54 Years","Number","368"
"Deaths Registered Provisional","1994Q2","55 to 64 Years","Number","822"
"Deaths Registered Provisional","1994Q2","65 to 74 Years","Number","1869"
"Deaths Registered Provisional","1994Q2","75 Years and Over","Number","4331"
"Deaths Registered Provisional","1994Q3","Under 1 Year","Number","78"
"Deaths Registered Provisional","1994Q3","4 Weeks to 1 Year","Number","26"
"Deaths Registered Provisional","1994Q3","1 Week to 4 Weeks","Number","10"
"Deaths Registered Provisional","1994Q3","Under 7 Days","Number","42"
"Deaths Registered Provisional","1994Q3","1 to 7 Days","Number","14"
"Deaths Registered Provisional","1994Q3","Under 1 Day","Number","28"
"Deaths Registered Provisional","1994Q3","1 to 4 Years","Number","13"
"Deaths Registered Provisional","1994Q3","5 to 14 Years","Number","25"
"Deaths Registered Provisional","1994Q3","15 to 24 Years","Number","99"
"Deaths Registered Provisional","1994Q3","25 to 34 Years","Number","84"
"Deaths Registered Provisional","1994Q3","35 to 44 Years","Number","139"
"Deaths Registered Provisional","1994Q3","45 to 54 Years","Number","327"
"Deaths Registered Provisional","1994Q3","55 to 64 Years","Number","787"
"Deaths Registered Provisional","1994Q3","65 to 74 Years","Number","1777"
"Deaths Registered Provisional","1994Q3","75 Years and Over","Number","3884"
"Deaths Registered Provisional","1994Q4","Under 1 Year","Number","67"
"Deaths Registered Provisional","1994Q4","4 Weeks to 1 Year","Number","14"
"Deaths Registered Provisional","1994Q4","1 Week to 4 Weeks","Number","6"
"Deaths Registered Provisional","1994Q4","Under 7 Days","Number","47"
"Deaths Registered Provisional","1994Q4","1 to 7 Days","Number","20"
"Deaths Registered Provisional","1994Q4","Under 1 Day","Number","27"
"Deaths Registered Provisional","1994Q4","1 to 4 Years","Number","13"
"Deaths Registered Provisional","1994Q4","5 to 14 Years","Number","28"
"Deaths Registered Provisional","1994Q4","15 to 24 Years","Number","114"
"Deaths Registered Provisional","1994Q4","25 to 34 Years","Number","107"
"Deaths Registered Provisional","1994Q4","35 to 44 Years","Number","158"
"Deaths Registered Provisional","1994Q4","45 to 54 Years","Number","333"
"Deaths Registered Provisional","1994Q4","55 to 64 Years","Number","698"
"Deaths Registered Provisional","1994Q4","65 to 74 Years","Number","1655"
"Deaths Registered Provisional","1994Q4","75 Years and Over","Number","3999"
"Deaths Registered Provisional","1995Q1","Under 1 Year","Number","70"
"Deaths Registered Provisional","1995Q1","4 Weeks to 1 Year","Number","25"
"Deaths Registered Provisional","1995Q1","1 Week to 4 Weeks","Number","6"
"Deaths Registered Provisional","1995Q1","Under 7 Days","Number","39"
"Deaths Registered Provisional","1995Q1","1 to 7 Days","Number","14"
"Deaths Registered Provisional","1995Q1","Under 1 Day","Number","25"
"Deaths Registered Provisional","1995Q1","1 to 4 Years","Number","27"
"Deaths Registered Provisional","1995Q1","5 to 14 Years","Number","30"
"Deaths Registered Provisional","1995Q1","15 to 24 Years","Number","68"
"Deaths Registered Provisional","1995Q1","25 to 34 Years","Number","104"
"Deaths Registered Provisional","1995Q1","35 to 44 Years","Number","174"
"Deaths Registered Provisional","1995Q1","45 to 54 Years","Number","366"
"Deaths Registered Provisional","1995Q1","55 to 64 Years","Number","860"
"Deaths Registered Provisional","1995Q1","65 to 74 Years","Number","2208"
"Deaths Registered Provisional","1995Q1","75 Years and Over","Number","5258"
"Deaths Registered Provisional","1995Q2","Under 1 Year","Number","89"
"Deaths Registered Provisional","1995Q2","4 Weeks to 1 Year","Number","18"
"Deaths Registered Provisional","1995Q2","1 Week to 4 Weeks","Number","15"
"Deaths Registered Provisional","1995Q2","Under 7 Days","Number","56"
"Deaths Registered Provisional","1995Q2","1 to 7 Days","Number","27"
"Deaths Registered Provisional","1995Q2","Under 1 Day","Number","29"
"Deaths Registered Provisional","1995Q2","1 to 4 Years","Number","17"
"Deaths Registered Provisional","1995Q2","5 to 14 Years","Number","19"
"Deaths Registered Provisional","1995Q2","15 to 24 Years","Number","86"
"Deaths Registered Provisional","1995Q2","25 to 34 Years","Number","103"
"Deaths Registered Provisional","1995Q2","35 to 44 Years","Number","138"
"Deaths Registered Provisional","1995Q2","45 to 54 Years","Number","334"
"Deaths Registered Provisional","1995Q2","55 to 64 Years","Number","746"
